category, label, undefined undefined link
COMMIT,  software quality, Update gdn.go optimised code using chatGPT
COMMIT,  documentation, Can you generate a README.md explaining the extension is for visual studio code to integrated ChatGPT, build using ChatGPT after a few beers. Mention the README.md is generated by ChatGPT
COMMIT,  generating/manipulating data, adding new monsters from ChatGPT
COMMIT,  software quality, refactor: simplify layout hide and restore *Pair-programming with ChatGPT
COMMIT,  software quality, refactor: simplify menu item creation *Pair-programming with ChatGPT
COMMIT,  software quality, Fixed #530 thanks to ChatGPT
COMMIT,  documentation, chore: :bulb: add comments by chatGPT
COMMIT,  software quality, Rename function suggest by chatgpt XD
COMMIT,  software quality, Merge pull request #4 from kkdai/rename Rename function suggest by chatgpt XD
COMMIT,  software quality, Fixing Packaging workflow using chatGPT  (#573) chatGPT fix
COMMIT,  documentation, New Help/Support page with ChatGPT generated text.
COMMIT,  software quality, use chatgpt suggestion
COMMIT,  documentation, Update pivpy.py added docstring from chatgpt
COMMIT,  documentation, feat: added logs with chatgpt (#505) * feat: added logs with chatgpt * feat: added the messages controller file for the jsdoc with chatgpt * feat: added jsdoc generated by chatGPT to actionHistory * feat: added jsdoc for src/controllers/auth.ts with chatGPT help * feat: docs for bots.ts used chatGPT to add jsdocs for src/controllers/bots.ts * feat: added docs for chatTribes.ts using chatGPT we added docs to src/controllers/chatTribes.ts * feat: added docs for src/controllers/chats.ts
COMMIT,  documentation, feat: updated readme, thanks to chatgpt
COMMIT,  documentation, documentation generated by ChatGPT (#6) Some editing still needed but much better than no documentation at all
COMMIT,  documentation, doc: add description about indicators generated by chatgpt
COMMIT,  documentation, Split background and content again + housekeeping Create a separate script for background and content (download-button.js) and refactor the background script. also added a message from ChatGPT to README.md and make the package.sh script put the packages in a releases folder.
COMMIT,  documentation, Update README with chatgpt help
COMMIT,  software quality, refactor medals.ts thanks chatgpt
COMMIT,  documentation, Update readme with ChatGPT :P
COMMIT,  software quality, Add new endpoint get_statistics and test it using ChatGPT generated test. 2 added, 5 modified fixes #487 fixes #478 fixes #458 fixes #304 fixes #302
COMMIT,  software quality, easing tests modified from chatgpt
COMMIT,  software quality, Changes made by ChatGPT
COMMIT,  software quality, Merge pull request #3 from voaneves/Testing-GPT Changes made by ChatGPT
